sdmName,scan number
13B-409_sb25456623_1_000.56553.49328289352,10
13B-409_sb25456623_1_000.56553.49328289352,11
13B-409_sb25456623_1_000.56553.49328289352,12
13B-409_sb25456623_1_000.56553.49328289352,13
13B-409_sb25456623_1_000.56553.49328289352,14
13B-409_sb25456623_1_000.56553.49328289352,15
13B-409_sb25456623_1_000.56553.49328289352,17
13B-409_sb25456623_1_000.56553.49328289352,18
13B-409_sb25456623_1_000.56553.49328289352,19
13B-409_sb25456623_1_000.56553.49328289352,20
13B-409_sb25456623_1_000.56553.49328289352,21
13B-409_sb25456623_1_000.56553.49328289352,22
13B-409_sb25456623_1_000.56553.49328289352,23
13B-409_sb25456623_1_000.56553.49328289352,24
13B-409_sb25456623_1_000.56553.49328289352,25
13B-409_sb25456623_1_000.56553.49328289352,26
13B-409_sb25456623_1_000.56553.49328289352,27
13B-409_sb25456623_1_000.56553.49328289352,28
13B-409_sb25456623_1_000.56553.49328289352,29
13B-409_sb25461064_1.56554.490488344905,3
13B-409_sb25461064_1.56554.490488344905,4
13B-409_sb25461064_1.56554.490488344905,5
13B-409_sb25461064_1.56554.490488344905,6
13B-409_sb25461064_1.56554.490488344905,7
13B-409_sb25461064_1.56554.490488344905,8
13B-409_sb25461064_1.56554.490488344905,9
13B-409_sb25461064_1.56554.490488344905,10
13B-409_sb25461064_1.56554.490488344905,11
13B-409_sb25461064_1.56554.490488344905,12
13B-409_sb25461064_1.56554.490488344905,13
13B-409_sb25461064_1.56554.490488344905,15
13B-409_sb25461064_1.56554.490488344905,16
13B-409_sb25461064_1.56554.490488344905,17
13B-409_sb25461064_1.56554.490488344905,18
13B-409_sb25461064_1.56554.490488344905,19
13B-409_sb25461064_1.56554.490488344905,20
13B-409_sb25461064_1.56554.490488344905,21
13B-409_sb25461064_1.56554.490488344905,22
13B-409_sb25461064_1.56554.490488344905,23
13B-409_sb25461064_1.56554.490488344905,24
13B-409_sb25461064_1.56554.490488344905,25
13B-409_sb25461064_1.56554.490488344905,27
13B-409_sb25461064_1.56554.490488344905,28
13B-409_sb25461064_1.56554.490488344905,29
13B-409_sb25461064_1.56554.490488344905,30
13B-409_sb25461064_1.56554.490488344905,31
13B-409_sb25461064_1.56554.490488344905,32
13B-409_sb25461064_1.56554.490488344905,33
13B-409_sb25461064_1.56554.490488344905,34
13B-409_sb25461064_1.56554.490488344905,35
13B-409_sb25461064_1.56554.490488344905,36
13B-409_sb25461064_1.56554.490488344905,37
13B-409_sb25461064_1.56554.490488344905,39
13B-409_sb25461064_1.56554.490488344905,40
13B-409_sb25461064_1.56554.490488344905,41
13B-409_sb25461064_1.56554.490488344905,42
13B-409_sb25461064_1.56554.490488344905,43
13B-409_sb25461064_1.56554.490488344905,44
13B-409_sb25461064_1.56554.490488344905,45
13B-409_sb25461064_1.56554.490488344905,46
13B-409_sb25461064_1.56554.490488344905,47
13B-409_sb25461064_1.56554.490488344905,48
13B-409_sb25461064_1.56554.490488344905,49
13B-409_sb25461064_1.56554.490488344905,51
13B-409_sb25461064_1.56554.490488344905,52
